idea,category,team_size,funding_k,market_size,outcome
A smart product for startups to manage in game rewards and play to earn rewards.,Gaming,8,159.4,7,Success
"A service offering local sellers, storefront and more for startups.",Ecommerce,10,219.1,8,Fail
A community driven service for seniors to manage reselling and vacation packages.,Ecommerce,7,81.2,4,Fail
A smart platform for teenagers to book players and tournaments.,Gaming,1,210.3,4,Fail
A personalized product that lets gamers manage software through automation.,SaaS,9,46.5,7,Success
A smart service for women to manage stocks and credit card.,FinTech,11,278.7,6,Success
"A service offering fintech, payments and more for gamers.",FinTech,12,77.8,9,Fail
A smart website that lets students book marketplace through reselling.,Ecommerce,6,60.7,9,Fail
A community driven solution for startups to save on business tools and tools.,SaaS,14,114.1,6,Success
An peer to peer service that helps freelancers with catering and gamers.,FoodTech,7,151.3,3,Fail
"A startup offering holidays, road trips and more for startups.",Travel,1,151.3,7,Success
A community driven solution that lets gamers track doctor appointments through mental health.,HealthTech,12,161.5,5,Fail
A all in one solution for students to book exam prep and coding lessons.,EdTech,11,118.9,6,Fail
A affordable platform that lets teenagers access foodtech through food.,FoodTech,7,69.1,10,Success
A community driven product that lets startups automate micro loans through certification.,EdTech,11,325.7,7,Success
An next gen startup that helps startups with shopping and storefront.,Ecommerce,14,342.7,6,Success
An affordable website that helps travelers with getaways and hotels.,Travel,16,282.4,6,Success
A peer to peer product that lets urban families organize dropshipping through in game rewards.,Gaming,9,121.9,3,Success
"A platform offering fintech, digital wallet and more for teenagers.",FinTech,9,57.1,5,Fail
An hyperlocal startup that helps home cooks with subscription boxes and fashion retail.,Ecommerce,8,600.0,4,Success
A affordable solution that lets freelancers connect with street food through home cooked meals.,FoodTech,12,159.1,3,Success
A smart service that lets gamers discover travel itinerary through trips.,Travel,12,351.2,5,Success
A peer to peer app that lets gamers manage tiffin service through cloud kitchen.,FoodTech,7,269.2,4,Success
A affordable service that lets startups connect with hotel booking through homestays.,Travel,7,84.2,7,Fail
A on demand product that lets women save on tiffin service through api integration.,SaaS,2,286.4,5,Success
A smart startup for home cooks to share grocery delivery and recipes.,FoodTech,7,113.4,3,Fail
An on demand solution that helps teenagers with financial and travel itinerary.,FinTech,14,220.8,6,Success
A community driven app for seniors to organize foodtech and groceries.,FoodTech,1,62.3,5,Fail
A affordable startup that lets students track education through study groups.,EdTech,3,185.2,8,Success
"A platform offering saas, project management and more for travelers.",SaaS,5,141.4,4,Fail
An hyperlocal website that helps women with homework help and students.,EdTech,6,100.3,5,Fail
"A website offering game community, casual games and more for students.",Gaming,6,225.3,8,Success
An affordable product that helps women with homework help and street food.,EdTech,2,216.7,4,Fail
"A startup offering online store, online shopping and more for teenagers.",Ecommerce,13,355.7,3,Success
A personalized product for teenagers to connect with gaming and game studio.,Gaming,8,204.5,5,Success
A next gen solution for freelancers to organize nutrition and symptom checker.,HealthTech,10,206.2,7,Success
"A website offering casual games, game community and more for gamers.",Gaming,8,218.4,8,Fail
"A product offering stocks, tax filing and more for women.",FinTech,14,98.4,4,Fail
A hyperlocal website for gamers to manage api integration and software.,SaaS,10,59.2,6,Success
A next gen platform for home cooks to learn handmade products and vacation packages.,Ecommerce,3,99.3,7,Fail
A peer to peer product that lets students discover hr platform through scheduling tool.,SaaS,14,201.1,6,Success
A smart solution for freelancers to access lending and money.,FinTech,8,92.4,3,Success
An next gen product that helps teenagers with hotels and getaways.,Travel,9,163.9,5,Fail
A peer to peer startup for young professionals to save on team productivity and online courses.,SaaS,9,429.8,4,Success
"A product offering wellness, patient records and more for young professionals.",HealthTech,15,174.5,6,Success
An affordable service that helps teenagers with game studio and game.,Gaming,8,135.8,7,Fail
"A solution offering level challenges, puzzle game and more for urban families.",Gaming,11,134.8,5,Success
A AI powered service for young professionals to discover mental wellness and dashboard.,SaaS,13,42.0,3,Fail
"A platform offering finance, neobank and more for women.",FinTech,5,110.7,8,Fail
An next gen app that helps students with edtech and classroom.,EdTech,3,80.9,5,Fail
A community driven solution for seniors to share meal planning and local chefs.,FoodTech,8,49.6,7,Success
A AI powered service that lets home cooks compare skill learning through symptom checker.,HealthTech,9,138.1,3,Fail
A community driven service that lets travelers discover therapy sessions through medicine delivery.,HealthTech,11,298.1,6,Success
A next gen website for gamers to manage storefront and ecommerce.,Ecommerce,12,136.8,7,Fail
"A app offering classroom, coding lessons and more for travelers.",EdTech,9,138.1,5,Success
"A product offering students, study groups and more for young professionals.",EdTech,10,104.9,5,Success
A community driven website that lets seniors save on skill learning through savings.,EdTech,9,135.3,6,Fail
"A platform offering product discovery, d2c and more for teenagers.",Ecommerce,13,112.1,5,Success
A AI powered product for small businesses to track in game rewards and multiplayer arena.,Gaming,1,286.3,4,Fail
"A website offering software, automation and more for seniors.",SaaS,13,136.0,7,Success
A hyperlocal startup that lets young professionals learn meals through tiffin service.,FoodTech,8,194.9,6,Fail
"A app offering symptom checker, healthcare and more for students.",HealthTech,11,108.2,7,Fail
A peer to peer solution that lets urban families save on team management through customer support software.,SaaS,8,280.1,6,Success
A all in one website that lets seniors connect with budgeting through dashboard.,FinTech,3,79.2,4,Fail
An AI powered platform that helps seniors with travel and booking.,Travel,10,135.9,7,Success
"A platform offering nutrition, wellness and more for women.",HealthTech,11,126.5,10,Success
"A service offering lending, upi and more for women.",FinTech,10,156.7,6,Success
A hyperlocal platform for young professionals to share payment app and fintech.,FinTech,5,311.8,6,Success
A affordable service that lets freelancers access metaverse through level challenges.,Gaming,4,118.0,5,Success
"A app offering handmade products, online shopping and more for gamers.",Ecommerce,5,195.9,4,Fail
A hyperlocal app for home cooks to track skill learning and test prep.,EdTech,12,149.9,10,Success
An community driven platform that helps young professionals with destinations and tour packages.,Travel,1,162.7,5,Success
An community driven app that helps home cooks with dropshipping and brand outlet.,Ecommerce,3,50.0,8,Success
"A product offering language learning, learning app and more for young professionals.",EdTech,2,304.9,9,Success
An smart platform that helps gamers with fitness and healthtech.,HealthTech,3,50.1,4,Fail
"A solution offering students, edtech and more for gamers.",EdTech,7,157.1,6,Fail
A peer to peer product that lets seniors track teleconsultation through banking.,FinTech,9,82.7,8,Fail
"A app offering meals, tiffin service and more for freelancers.",FoodTech,6,104.5,3,Fail
A peer to peer platform for women to connect with loans and payment app.,FinTech,9,321.2,5,Success
"A app offering flight deals, local tours and more for small businesses.",Travel,5,63.1,6,Fail
"A startup offering vacation packages, trip planning and more for seniors.",Travel,7,147.4,8,Success
A smart service that lets urban families automate collaboration through crm software.,SaaS,7,183.9,5,Fail
"A service offering medicine delivery, online shopping and more for travelers.",Ecommerce,9,126.6,8,Fail
An hyperlocal solution that helps home cooks with crm and automation.,SaaS,2,270.1,5,Fail
A all in one product for women to discover study groups and fintech.,EdTech,18,171.4,5,Success
A all in one solution for small businesses to learn boutique and tournaments.,Gaming,7,90.8,3,Fail
An next gen startup that helps startups with loans and neobank.,FinTech,3,251.0,8,Success
A affordable platform that lets startups track homestays through gamers.,Gaming,4,79.5,3,Fail
A personalized product that lets travelers automate reselling through online shopping.,Ecommerce,13,206.7,8,Success
"A product offering nutrition, doctor appointments and more for home cooks.",HealthTech,9,88.9,6,Fail
A all in one website that lets teenagers access home cooked meals through meals.,FoodTech,7,117.0,8,Fail
A peer to peer service for urban families to track business tools and productivity software.,SaaS,13,190.4,6,Fail
An AI powered website that helps students with backpacking and game studio.,Gaming,10,196.8,6,Success
"A product offering virtual classroom, skill learning and more for freelancers.",EdTech,5,181.7,5,Success
"A service offering retail, in game rewards and more for urban families.",Gaming,9,187.0,6,Success
A peer to peer website for small businesses to learn cooking and healthy snacks.,FoodTech,14,27.2,2,Fail
A peer to peer product that lets travelers manage booking through travel.,Travel,10,76.1,5,Fail
A all in one platform that lets travelers learn game studio through tournaments.,Gaming,5,89.9,6,Success
A on demand solution that lets travelers save on payments through fintech.,FinTech,9,549.4,7,Success
"A website offering wellness, workout and more for freelancers.",HealthTech,10,90.9,8,Success
An on demand solution that helps startups with fantasy sports and mental wellness.,Gaming,10,120.5,4,Fail
"A platform offering reselling, food ordering and more for freelancers.",FoodTech,12,122.2,8,Fail
A community driven app for urban families to manage tools and dashboard.,SaaS,7,179.5,5,Fail
A peer to peer solution that lets young professionals save on tournaments through play to earn rewards.,Gaming,2,155.2,7,Fail
An peer to peer website that helps startups with local tours and level challenges.,Gaming,2,55.0,7,Fail
A hyperlocal website that lets young professionals automate healthcare through api integration.,SaaS,1,140.8,10,Fail
A all in one platform that lets home cooks discover esports tournaments through game.,Gaming,7,88.6,3,Fail
An smart app that helps women with banking and insurance.,FinTech,4,65.5,8,Fail
A peer to peer solution for small businesses to book dining and shopping.,FoodTech,1,65.1,4,Fail
"A startup offering money, financial and more for women.",FinTech,8,71.2,8,Fail
A smart startup that lets seniors track certification through coding lessons.,EdTech,3,57.7,5,Fail
An next gen startup that helps students with game community and gamers.,Gaming,8,120.2,5,Success
"A website offering catering, meal kits and more for teenagers.",FoodTech,11,68.2,5,Fail
A affordable platform for small businesses to compare remote teams and workspace.,SaaS,13,191.6,8,Success
"A solution offering dining, enterprise software and more for urban families.",SaaS,10,80.8,5,Fail
An all in one startup that helps teenagers with upskilling and study groups.,EdTech,12,161.5,8,Success
A peer to peer service for small businesses to book healthy snacks and food delivery.,FoodTech,7,66.4,8,Success
"A app offering team productivity, invoicing tool and more for young professionals.",SaaS,13,185.3,8,Success
An community driven service that helps gamers with ecommerce and products.,Ecommerce,9,86.7,3,Fail
A next gen service that lets teenagers access foodtech through food delivery.,FoodTech,5,59.7,4,Fail
An community driven app that helps gamers with local chefs and grocery delivery.,FoodTech,4,234.6,2,Success
A next gen website for women to manage crm software and puzzle game.,Gaming,9,31.4,10,Fail
A personalized app for gamers to share recipes and restaurant booking.,FoodTech,8,202.1,6,Success
A affordable platform that lets young professionals access mentorship through coding lessons.,EdTech,1,83.3,7,Fail
An AI powered platform that helps small businesses with scheduling tool and enterprise software.,SaaS,4,24.0,6,Success
"A service offering telemedicine, healthcare and more for travelers.",HealthTech,7,345.3,4,Fail
"A product offering game studio, hotel booking and more for home cooks.",Gaming,4,180.9,5,Fail
A hyperlocal product for students to track health tracking and workflow automation.,HealthTech,13,189.0,7,Success
A affordable app that lets travelers compare cloud kitchen through food delivery.,FoodTech,9,254.5,5,Success
An affordable app that helps women with wellness and local chefs.,HealthTech,15,176.3,6,Success
An next gen platform that helps teenagers with micro loans and gaming.,FinTech,8,206.1,7,Fail
"A app offering shopping, online store and more for small businesses.",Ecommerce,1,235.2,3,Fail
"A solution offering road trips, hotels and more for urban families.",Travel,9,192.6,3,Fail
A peer to peer app for teenagers to access restaurant booking and dining.,FoodTech,3,181.4,4,Fail
A all in one product for travelers to learn online courses and test prep.,EdTech,5,45.5,3,Fail
An peer to peer service that helps women with foodtech and recipes.,FoodTech,17,111.9,6,Success
"A service offering mentorship, quizzes and more for startups.",EdTech,6,133.6,2,Fail
An next gen website that helps home cooks with catering and cloud kitchen.,FoodTech,12,145.5,7,Fail
"A website offering local tours, travel itinerary and more for gamers.",Travel,9,113.2,5,Fail
A next gen solution that lets students manage credit score through neobank.,FinTech,11,75.7,4,Fail
An peer to peer product that helps young professionals with symptom checker and doctor appointments.,HealthTech,9,88.2,8,Success
A smart product that lets women save on boutique through retail.,Ecommerce,7,150.0,3,Fail
An community driven product that helps freelancers with doctor appointments and travel itinerary.,HealthTech,10,127.5,8,Success
An community driven platform that helps seniors with handmade products and local sellers.,Ecommerce,12,92.7,2,Fail
A community driven solution for startups to access meals and food ordering.,FoodTech,7,184.2,9,Success
A hyperlocal solution that lets urban families book workout through health tracking.,HealthTech,10,117.0,7,Fail
A next gen product that lets home cooks save on study groups through students.,EdTech,1,202.5,7,Fail
A on demand solution that lets teenagers automate local chefs through street food.,FoodTech,8,103.1,9,Success
A peer to peer service that lets travelers manage healthcare through telemedicine.,HealthTech,13,165.0,9,Success
A affordable website for freelancers to save on yoga classes and healthcare.,HealthTech,12,279.6,8,Success
"A product offering workspace, crm software and more for teenagers.",SaaS,12,128.2,6,Success
A affordable platform that lets small businesses automate classroom through coding lessons.,EdTech,4,179.9,7,Fail
An on demand platform that helps young professionals with trips and backpacking.,Travel,8,63.7,4,Fail
"A product offering cloud kitchen, groceries and more for seniors.",FoodTech,12,35.6,6,Success
A on demand startup that lets gamers automate symptom checker through workout.,HealthTech,13,72.0,7,Fail
"A website offering invoicing tool, saas and more for urban families.",SaaS,9,114.4,10,Fail
A personalized website that lets women track road trips through casual games.,Travel,10,194.8,4,Fail
An next gen platform that helps urban families with workflow automation and tiffin service.,FoodTech,7,107.5,3,Fail
A next gen service for young professionals to discover arcade and trips.,Travel,8,233.5,6,Success
"A platform offering d2c, getaways and more for startups.",Travel,6,93.8,3,Success
"A product offering local chefs, recipes and more for teenagers.",FoodTech,6,144.5,10,Success
A affordable app that lets women compare learning app through skill learning.,EdTech,1,127.3,3,Success
An next gen solution that helps urban families with e-learning and exam prep.,EdTech,10,158.7,1,Fail
A peer to peer app for students to compare loans and credit score.,FinTech,5,140.6,5,Success
"A platform offering food ordering, street food and more for travelers.",FoodTech,7,129.8,7,Fail
A on demand website that lets home cooks automate coding lessons through test prep.,EdTech,6,190.1,5,Fail
"A service offering money, digital wallet and more for home cooks.",FinTech,10,361.7,3,Success
An peer to peer product that helps gamers with puzzle game and in game rewards.,Gaming,13,118.8,6,Success
A AI powered solution for students to track subscription boxes and reselling.,Ecommerce,6,229.7,5,Success
"A website offering doctor appointments, yoga classes and more for students.",HealthTech,6,244.1,5,Success
"A website offering product discovery, d2c and more for startups.",Ecommerce,8,233.4,9,Success
A AI powered startup for home cooks to track storefront and d2c.,Ecommerce,11,172.1,6,Success
An hyperlocal startup that helps urban families with ecommerce and fashion retail.,Ecommerce,5,131.8,2,Fail
A affordable website for gamers to track brand outlet and handmade products.,Ecommerce,7,118.8,5,Fail
"A startup offering remote teams, destinations and more for young professionals.",Travel,9,147.0,6,Success
A affordable startup that lets travelers discover hr platform through tutoring.,EdTech,8,75.7,3,Fail
"A solution offering mentorship, edtech and more for urban families.",EdTech,11,305.3,4,Success
An community driven service that helps urban families with products and electronics deals.,Ecommerce,8,151.2,10,Fail
An community driven website that helps women with upi and food ordering.,FinTech,8,112.1,3,Fail
A next gen startup that lets students manage patient records through nutrition.,HealthTech,8,56.9,6,Fail
An community driven service that helps travelers with hr platform and b2b.,SaaS,9,56.7,8,Fail
"A product offering upskilling, edtech and more for freelancers.",EdTech,6,211.3,7,Fail
An hyperlocal solution that helps gamers with workflow automation and team management.,SaaS,5,173.2,10,Success
A all in one service for travelers to discover loans and transactions.,FinTech,4,128.3,8,Success
A AI powered app for young professionals to access collaboration and data reporting.,SaaS,9,155.2,7,Success
A affordable platform for home cooks to share hotel booking and tourism guide.,Travel,7,111.0,9,Success
An community driven platform that helps freelancers with insurance and fintech.,FinTech,15,56.9,5,Success
A community driven solution for freelancers to book e-learning and virtual classroom.,EdTech,8,130.5,4,Fail
A AI powered app that lets freelancers connect with mentorship through virtual classroom.,EdTech,7,151.8,7,Success
An community driven app that helps home cooks with booking and tour packages.,Travel,8,441.0,9,Success
A hyperlocal product for startups to automate fitness and catering.,HealthTech,1,600.0,4,Success
An all in one service that helps students with home cooked meals and food.,FoodTech,7,96.4,8,Fail
"A website offering credit score, level challenges and more for small businesses.",Gaming,5,136.7,5,Fail
A on demand solution for women to automate classroom and cloud kitchen.,FoodTech,1,96.8,8,Fail
An on demand startup that helps seniors with data reporting and team productivity.,SaaS,13,119.5,5,Fail
A peer to peer product that lets urban families book gaming through game streaming.,Gaming,15,512.2,7,Success
A next gen solution for women to learn flight deals and trips.,Travel,12,92.7,10,Fail
A hyperlocal startup that lets home cooks organize mentorship through certification.,EdTech,3,119.7,6,Fail
An hyperlocal service that helps urban families with getaways and meal planning.,FoodTech,4,82.3,9,Fail
An personalized startup that helps small businesses with exam prep and expense tracking.,FinTech,6,193.8,8,Success
"A product offering workflow automation, local chefs and more for gamers.",FoodTech,8,96.9,5,Fail
An peer to peer product that helps small businesses with leaderboards and puzzle game.,Gaming,5,257.6,5,Fail
A smart platform for teenagers to access credit score and investing.,FinTech,10,246.2,5,Success
An affordable solution that helps travelers with players and multiplayer arena.,Gaming,7,85.5,7,Success
A community driven website for seniors to share food delivery and local chefs.,FoodTech,10,414.1,4,Success
A all in one service for young professionals to compare catering and coding lessons.,FoodTech,12,162.1,3,Fail
A affordable app that lets small businesses book fashion retail through electronics deals.,Ecommerce,1,182.1,4,Fail
A personalized website that lets teenagers discover banking through neobank.,FinTech,7,83.0,6,Fail
A hyperlocal service for freelancers to save on digital wallet and doctor appointments.,FinTech,10,214.7,4,Fail
An all in one startup that helps students with fintech and banking.,FinTech,11,77.6,7,Success
A personalized product for freelancers to share puzzle game and game.,Gaming,8,66.4,6,Fail
An hyperlocal app that helps women with payment app and shopping.,FinTech,7,214.1,8,Success
A on demand app for gamers to compare puzzle game and play to earn rewards.,Gaming,5,111.6,2,Fail
A peer to peer solution for startups to save on meal planning and restaurant booking.,FoodTech,6,398.4,7,Success
A community driven app that lets teenagers automate brand outlet through product discovery.,Ecommerce,2,174.9,6,Fail
A all in one solution that lets young professionals automate brand outlet through electronics deals.,Ecommerce,9,137.6,5,Fail
A on demand platform for travelers to book symptom checker and healthtech.,HealthTech,1,156.4,5,Success
A affordable product for gamers to save on fintech and savings.,FinTech,9,93.7,6,Fail
"A website offering money, budgeting and more for women.",FinTech,16,171.2,3,Fail
An on demand app that helps freelancers with local sellers and shopping.,Ecommerce,6,139.5,7,Fail
An on demand website that helps women with lending and certification.,EdTech,12,101.6,5,Fail
An on demand solution that helps students with business tools and saas.,SaaS,9,183.0,3,Fail
"A service offering fantasy sports, tournaments and more for young professionals.",Gaming,14,108.7,8,Success
A personalized website for teenagers to track tax filing and game.,Gaming,8,112.0,8,Fail
A on demand service for women to manage symptom checker and mental health.,HealthTech,8,158.8,7,Success
A AI powered app that lets travelers track meals through workflow automation.,FoodTech,9,221.7,4,Fail
An personalized website that helps gamers with lending and digital wallet.,FinTech,6,152.9,6,Fail
A smart app that lets seniors organize storefront through d2c.,Ecommerce,5,172.5,5,Fail
A on demand startup that lets small businesses save on trip planning through backpacking.,Travel,12,217.5,6,Fail
"A product offering fashion retail, dropshipping and more for gamers.",Ecommerce,11,146.7,5,Success
A smart solution that lets urban families organize getaways through flights.,Travel,12,281.9,6,Success
An peer to peer platform that helps teenagers with enterprise software and catering.,SaaS,12,280.4,6,Success
A peer to peer startup for startups to automate game streaming and players.,Gaming,10,269.9,7,Success
A all in one website for travelers to discover stocks and flights.,FinTech,8,76.7,3,Fail
A smart website for gamers to discover exam prep and education.,EdTech,15,140.4,9,Fail
A on demand website that lets small businesses connect with analytics dashboard through enterprise software.,SaaS,2,321.9,9,Success
"A website offering meals, restaurant booking and more for freelancers.",FoodTech,9,188.9,4,Fail
A personalized website that lets students track teleconsultation through team productivity.,SaaS,4,173.6,6,Success
A on demand startup for freelancers to connect with health tracking and wellness.,HealthTech,8,144.8,6,Success
"A website offering meals, brand outlet and more for urban families.",Ecommerce,11,269.0,5,Success
A on demand app that lets seniors discover players through leaderboards.,Gaming,15,295.6,9,Success
An all in one website that helps women with courses and virtual classroom.,EdTech,9,268.3,8,Success
A smart website that lets seniors save on wellness through healthtech.,HealthTech,17,88.8,9,Success
"A product offering mental wellness, yoga classes and more for freelancers.",HealthTech,10,98.0,6,Fail
"A app offering cloud kitchen, food ordering and more for seniors.",FoodTech,12,118.1,6,Fail
"A startup offering gamers, road trips and more for teenagers.",Travel,2,68.0,6,Fail
A hyperlocal solution that lets gamers discover investing through micro loans.,FinTech,10,133.7,8,Fail
An affordable product that helps young professionals with edtech and upskilling.,EdTech,1,344.5,5,Success
A hyperlocal app that lets startups organize classroom through insurance.,EdTech,11,87.7,2,Fail
"A solution offering homework help, learning app and more for young professionals.",EdTech,16,254.5,2,Success
"A app offering healthtech, nutrition and more for startups.",HealthTech,6,152.5,8,Fail
A on demand platform for teenagers to share backpacking and tourism guide.,Travel,18,215.0,6,Fail
"A product offering tour packages, holidays and more for young professionals.",Travel,3,57.4,8,Fail
An peer to peer service that helps teenagers with recipes and deals.,FoodTech,5,201.3,6,Success
A hyperlocal website that lets freelancers organize getaways through reselling.,Ecommerce,11,138.7,2,Fail
An on demand app that helps gamers with team management and project management.,SaaS,7,448.5,10,Success
A affordable product that lets students connect with game community through game.,Gaming,8,118.5,6,Fail
"A product offering esports tournaments, telemedicine and more for travelers.",Gaming,5,132.4,3,Fail
A on demand app that lets small businesses book tournaments through game streaming.,Gaming,9,244.8,1,Success
An affordable service that helps seniors with upskilling and tutoring.,EdTech,6,138.2,4,Success
"A platform offering hotels, hotel booking and more for startups.",Travel,17,152.9,8,Fail
An next gen platform that helps teenagers with budgeting and payment app.,FinTech,12,172.0,8,Success
An smart app that helps startups with recipes and tax filing.,FoodTech,8,103.9,4,Fail
An peer to peer website that helps travelers with flights and road trips.,Travel,11,120.5,5,Success
A affordable service that lets young professionals connect with homestays through subscription boxes.,Travel,9,138.5,6,Fail
A community driven solution for small businesses to share food ordering and insurance.,FinTech,8,343.4,1,Success
"A product offering health tracking, fitness coaching and more for teenagers.",HealthTech,5,160.4,8,Fail
"A platform offering wellness, doctor appointments and more for home cooks.",HealthTech,13,273.8,7,Success
A peer to peer service for small businesses to manage game streaming and hotel booking.,Gaming,8,121.4,6,Success
"A app offering healthy snacks, local chefs and more for women.",FoodTech,13,98.9,5,Fail
"A startup offering esports tournaments, in game rewards and more for travelers.",Gaming,7,83.3,8,Fail
An all in one website that helps startups with fitness and leaderboards.,HealthTech,11,242.8,8,Success
"A startup offering symptom checker, patient records and more for young professionals.",HealthTech,13,155.0,5,Success
An affordable platform that helps freelancers with cloud kitchen and groceries.,FoodTech,10,68.4,10,Success
A AI powered product for urban families to share trips and hotels.,Travel,11,63.8,6,Fail
A smart service that lets gamers organize brand outlet through subscription boxes.,Ecommerce,6,129.9,7,Success
An community driven service that helps seniors with micro loans and payment app.,FinTech,1,289.5,5,Success
"A startup offering meal planning, food delivery and more for gamers.",FoodTech,6,96.2,5,Success
A affordable startup for startups to share food delivery and street food.,FoodTech,9,74.7,7,Fail
A hyperlocal startup that lets gamers book hotels through trips.,Travel,13,209.4,4,Fail
A all in one product that lets urban families connect with transactions through stocks.,FinTech,5,241.4,6,Success
An personalized solution that helps seniors with backpacking and local tours.,Travel,11,28.9,5,Fail
"A solution offering marketplace, online store and more for small businesses.",Ecommerce,6,119.3,4,Fail
A hyperlocal app for travelers to book doctor appointments and health tracking.,HealthTech,9,91.1,7,Fail
"A app offering team productivity, tools and more for home cooks.",SaaS,13,600.0,5,Success
"A service offering esports tournaments, tourism guide and more for startups.",Gaming,4,108.1,2,Fail
An affordable solution that helps home cooks with enterprise software and invoicing tool.,SaaS,13,60.9,7,Success
"A product offering fitness, patient records and more for small businesses.",HealthTech,4,113.4,10,Fail
A community driven app for freelancers to track recipes and mental wellness.,HealthTech,12,180.8,6,Success
