category,review,label
FinTech,The credit card feature is easy to use.,positive
Ecommerce,"The handmade products works great, but it is overpriced.",negative
Gaming,The play to earn rewards is way too slow.,negative
FoodTech,The recipes is disappointing.,negative
Ecommerce,The d2c is overpriced.,negative
Gaming,"The fantasy sports is very reliable, but it is terrible.",negative
HealthTech,The health tracking is frustrating.,negative
FoodTech,The food delivery has poor support.,negative
FoodTech,The catering is terrible.,negative
HealthTech,The healthcare feature is worth every rupee.,positive
EdTech,"The edtech works great, but it is confusing to use.",positive
Gaming,The level challenges is a waste of money.,negative
Travel,The booking keeps crashing.,negative
Ecommerce,"The ecommerce is very reliable, but it is disappointing.",positive
EdTech,The quizzes feature is worth every rupee.,positive
Gaming,The in game rewards feature has excellent support.,positive
Ecommerce,The dropshipping is way too slow.,negative
SaaS,The team productivity feature saves me so much time.,positive
FinTech,The loans is disappointing.,negative
Gaming,The gaming feature saves me so much time.,positive
SaaS,The enterprise software feature is amazing.,positive
FinTech,The insurance is full of bugs.,negative
FoodTech,The food feature is amazing.,positive
FinTech,The credit card feature is super helpful.,positive
HealthTech,The fitness coaching feature runs smoothly.,positive
Gaming,The game studio is frustrating.,negative
FoodTech,The recipes feature is easy to use.,positive
EdTech,The exam prep is confusing to use.,negative
SaaS,The workspace is disappointing.,negative
Travel,"The holidays saves me so much time, but it is full of bugs.",negative
EdTech,The study groups feature is a game changer.,positive
FinTech,The lending feature is very reliable.,positive
Gaming,The gaming feature works great.,positive
FinTech,The finance feature runs smoothly.,positive
Travel,The booking feature is super helpful.,positive
EdTech,The virtual classroom is a waste of money.,negative
Gaming,"The players is amazing, but it is disappointing.",negative
FoodTech,The restaurant booking has poor support.,negative
FinTech,The payments feature runs smoothly.,positive
SaaS,The remote teams feature runs smoothly.,positive
FinTech,The lending is full of bugs.,negative
Gaming,The tournaments feature is very reliable.,positive
FoodTech,The catering is full of bugs.,negative
Gaming,"The mobile game is worth every rupee, but it is overpriced.",negative
FinTech,The insurance is terrible.,negative
