age,income_k,spend_score,online_activity
38,98,63,66
38,52,28,41
50,85,40,62
55,73,27,25
34,48,72,79
26,59,46,79
43,113,77,65
28,13,83,86
29,74,49,73
25,66,62,69
62,85,21,31
31,63,53,58
49,82,30,61
26,51,45,65
38,93,38,52
48,64,34,30
30,102,48,44
49,86,46,22
25,70,57,66
34,82,44,32
21,36,62,84
18,28,58,100
18,50,70,83
35,73,87,79
63,29,44,16
31,126,73,62
35,59,70,66
18,38,74,90
55,52,22,27
44,82,53,70
21,36,75,77
23,17,89,84
36,86,72,60
18,24,77,90
27,32,61,75
55,60,55,30
19,18,93,85
51,63,43,1
26,27,84,65
44,109,53,46
27,55,66,51
28,94,76,55
29,22,74,77
63,81,52,18
31,58,58,64
45,92,31,41
37,60,38,5
28,12,72,83
58,72,22,39
18,49,87,92
36,75,44,81
38,84,70,68
18,20,73,52
48,55,31,10
27,43,62,100
48,65,30,18
29,54,70,78
29,54,44,87
69,79,28,29
51,61,49,21
19,13,70,82
37,76,65,50
32,71,65,59
18,19,83,56
51,50,41,21
21,19,61,63
32,49,43,81
41,72,61,51
25,49,68,60
35,62,76,76
38,84,44,55
27,51,72,83
37,31,54,60
42,61,50,60
18,22,81,100
33,44,72,65
29,50,73,69
32,40,78,73
26,60,45,90
22,29,72,81
39,53,79,81
44,71,57,66
23,27,89,87
33,51,52,66
20,68,69,83
32,79,69,72
34,88,62,58
43,70,25,28
21,68,72,66
18,50,89,86
62,63,53,11
18,21,71,77
54,64,33,36
47,43,55,13
47,101,71,45
34,40,87,94
30,52,78,78
42,39,60,74
37,95,53,57
18,31,89,100
37,87,55,64
48,72,45,6
24,36,66,98
52,57,44,37
24,35,77,90
42,87,48,50
19,69,63,86
18,30,50,76
23,45,93,100
34,92,59,56
20,18,63,85
49,54,21,20
33,43,65,81
36,46,55,70
48,64,47,27
50,62,49,28
44,80,52,63
39,88,60,24
58,79,45,20
26,67,62,57
28,51,84,66
34,88,60,60
38,63,54,63
45,86,35,31
28,54,60,69
38,80,56,74
24,101,60,47
20,27,78,55
52,68,33,8
65,88,36,37
27,37,75,96
27,67,45,71
24,24,86,70
61,80,31,1
35,82,71,70
46,51,42,37
53,48,31,42
62,50,35,25
43,52,73,87
26,71,58,89
